Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
Tuftelin-interacting protein 11,Q9UBB9,-0.276,-0.264,0.321,-0.011,0.056,-0.011,0.221,0.115,-0.044,-0.078,-0.223,0.281,-0.211,0.029,-0.091,-0.190,0.022,-0.363,18,-0.10,-1.1,0.27237
Tumor necrosis factor alpha-induced protein 8,O95379,0.214,0.679,-0.557,0.259,0.670,-0.619,-1.536,0.763,-0.538,-0.185,0.187,-1.047,1.122,-2.001,-0.141,0.351,0.391,-0.141,18,-0.04,-1.0,0.82667
Tumor necrosis factor receptor type 1-associated DEATH domain protein,Q15628,,,,-0.090,-0.634,0.601,-0.561,-0.070,-0.070,,,,0.003,-0.421,-0.063,0.103,-0.123,0.117,12,0.02,1.0,0.72074
Tumor protein D52,P55327,0.934,1.186,0.615,0.322,-0.222,0.189,0.059,-0.087,0.910,-4.021,-0.263,-3.375,-1.298,-2.351,-1.563,-2.909,0.152,-3.049,18,-1.96,-3.9,0.00014
Tumor protein D54,O43399,-0.563,0.434,0.805,-0.180,-0.114,-0.047,-1.292,0.212,0.545,-0.232,-0.191,-0.683,0.058,-0.087,-0.060,0.039,-0.465,0.530,18,-0.17,-1.1,0.68616
Tumor protein p53-inducible protein 11,O14683,-0.637,0.265,1.701,,,,,,,0.147,-1.062,0.864,,,,,,,6,-0.58,-1.5,0.62968
Tumor suppressor p53-binding protein 1,Q12888,-0.509,0.301,-1.122,-0.190,-0.056,-0.454,0.460,0.247,-0.748,-0.470,0.487,1.231,0.648,-0.507,0.476,-0.071,0.168,-0.139,18,0.45,1.4,0.11224
Twinfilin-2,Q6IBS0,0.288,0.368,-0.442,0.316,0.264,-0.268,-0.299,-1.029,0.645,0.062,0.234,-1.080,0.436,-0.520,-0.798,0.259,-0.459,0.313,18,-0.15,-1.1,0.55061
Tyrosine-protein kinase BAZ1B,Q9UIG0,-0.281,-0.109,0.104,0.100,0.470,0.153,1.193,-0.747,0.342,-0.414,-0.548,0.169,-1.920,0.206,-0.088,-0.920,0.476,-1.424,18,-0.55,-1.5,0.06643
Tyrosine-protein kinase BTK,Q06187,-0.102,0.256,0.016,0.061,-0.537,0.061,-0.477,0.585,-0.012,0.031,0.043,-1.629,0.009,-0.377,-0.602,-0.144,-0.741,-0.596,18,-0.39,-1.3,0.06046
Tyrosine-protein kinase CSK,P41240,0.161,-0.370,1.118,0.243,0.536,-0.275,-0.642,-0.018,0.193,-0.304,-0.118,-2.230,-0.394,-1.432,-0.421,0.486,-2.063,0.301,18,-0.62,-1.5,0.04970
Tyrosine-protein kinase Lck,P06239,0.472,-0.033,-0.166,0.205,0.180,0.392,,,,0.671,0.179,0.259,0.286,0.205,0.113,,,,12,0.11,1.1,0.40891
Tyrosine-protein kinase Lyn,P07948,0.236,-0.003,-0.707,0.044,0.003,-0.103,-0.134,0.451,0.253,-0.428,-0.176,-0.057,0.083,-0.861,-0.302,-0.054,-2.383,0.730,18,-0.24,-1.2,0.22557
Tyrosine-protein kinase SgK223,Q86YV5,-1.249,-0.772,-1.132,,,,0.294,-1.487,0.267,2.749,0.252,-1.036,,,,-0.145,-0.264,0.148,12,1.40,2.6,0.14845
Tyrosine-protein kinase SYK,P43405,-0.668,0.103,-0.123,0.030,-0.516,-0.183,-0.238,0.572,-0.158,-0.097,-0.097,-1.983,-0.874,-0.821,-0.502,0.691,-1.565,-2.167,18,-0.47,-1.4,0.05665
Tyrosine-protein kinase ZAP-70,P43403,-0.534,0.475,0.209,,,,-0.474,-0.235,-0.462,1.166,0.263,-2.886,,,,0.163,-0.607,0.309,12,0.25,1.2,0.87636
Tyrosine-protein phosphatase non-receptor type 1,P18031,0.028,-0.186,-0.583,0.016,0.044,-0.914,-0.536,-0.521,-0.389,-0.105,-0.716,-0.199,-0.063,-1.019,0.176,-0.242,-0.428,0.355,18,0.11,1.1,0.62902
Tyrosine-protein phosphatase non-receptor type 11,Q06124,-0.350,0.234,-0.258,0.303,-0.906,0.263,-0.655,0.035,-0.483,-0.018,-0.471,-0.868,-0.507,-0.720,-0.162,-0.257,-0.297,-0.072,18,-0.20,-1.2,0.33756
Tyrosine-protein phosphatase non-receptor type 12,Q05209,0.585,0.612,0.585,0.587,0.043,1.079,0.647,0.582,1.033,0.625,0.519,0.373,0.747,0.362,0.481,0.647,0.009,0.382,18,-0.19,-1.1,0.16620
Tyrosine-protein phosphatase non-receptor type 2,P17706,,,,0.050,-0.030,-0.176,-0.235,-0.303,0.070,,,,-0.348,-0.069,0.289,0.057,0.123,0.004,12,0.12,1.1,0.31854
Tyrosine-protein phosphatase non-receptor type 23,Q9H3S7,0.086,-0.020,0.206,0.035,-0.057,0.035,0.130,-0.307,0.011,0.007,-0.153,-0.419,-0.138,0.128,-0.296,0.117,-0.095,-0.149,18,-0.12,-1.1,0.12481
Tyrosine-protein phosphatase non-receptor type 6,P29350,0.787,0.202,1.105,1.367,-0.041,0.875,-0.293,-0.253,1.088,-0.476,-0.010,-2.704,-0.374,-1.342,-1.581,-0.279,-0.998,-0.361,18,-1.38,-2.6,0.00093
"Tyrosine--tRNA ligase, cytoplasmic",P54577,-0.186,0.558,0.425,-0.119,0.041,0.054,-0.586,0.146,-0.784,-0.200,-0.041,-2.061,0.094,-0.968,-0.609,0.119,-0.254,-0.146,18,-0.34,-1.3,0.16071
"Tyrosine--tRNA ligase, mitochondrial",Q9Y2Z4,0.597,0.345,0.622,1.571,0.242,0.840,0.118,-0.611,0.995,0.570,0.463,0.358,-0.794,-0.090,1.186,0.835,0.344,1.274,18,-0.06,-1.0,0.83167
"Tyrosyl-tRNA synthetase, cytoplasmic",P54577,-0.186,0.558,0.425,-0.119,0.041,0.054,-0.586,0.146,-0.784,-0.200,-0.041,-2.061,0.094,-0.968,-0.609,0.119,-0.254,-0.146,18,-0.34,-1.3,0.16071
"Tyrosyl-tRNA synthetase, mitochondrial",Q9Y2Z4,0.597,0.345,0.622,1.571,0.242,0.840,0.118,-0.611,0.995,0.570,0.463,0.358,-0.794,-0.090,1.186,0.835,0.344,1.274,18,-0.06,-1.0,0.83167
U1 small nuclear ribonucleoprotein 70 kDa,P08621,-0.004,0.023,-0.070,0.087,0.021,-0.205,-0.562,-0.163,-0.110,0.023,0.023,0.076,0.220,-0.019,-0.033,0.076,0.714,0.115,18,0.25,1.2,0.02864
U1 small nuclear ribonucleoprotein A,P09012,1.262,1.236,1.143,0.902,1.021,0.888,0.959,1.092,0.706,1.050,0.943,0.744,1.260,1.114,1.194,1.264,1.212,1.145,18,0.08,1.1,0.34714
U11/U12 small nuclear ribonucleoprotein 35 kDa protein,Q16560,0.000,-0.226,-0.253,,,,,,,-0.173,-0.092,0.293,,,,,,,6,0.18,1.1,0.36284
U11/U12 small nuclear ribonucleoprotein 48 kDa protein,Q6IEG0,,,,,,,0.505,0.970,-0.452,,,,,,,0.132,0.438,1.262,6,0.24,1.2,0.64196
U2 small nuclear ribonucleoprotein A',P09661,0.002,-0.185,-0.066,0.150,-0.075,-0.768,0.048,-0.178,-0.351,-0.145,-0.105,-0.038,0.017,0.229,-0.089,-0.218,0.061,0.101,18,0.12,1.1,0.19472
U2 small nuclear ribonucleoprotein B'',P08579,0.266,0.147,0.679,0.433,0.180,0.060,0.736,0.124,0.338,0.400,-0.955,1.555,0.473,0.579,0.366,0.165,0.524,0.204,18,0.14,1.1,0.86872
U2 snRNP-associated SURP motif-containing protein,O15042,0.113,0.086,-0.246,0.138,0.403,-1.312,0.654,0.015,-0.396,-0.391,-0.631,0.710,-0.128,0.363,0.177,-0.769,0.388,-0.250,18,-0.01,-1.0,0.99481
U3 small nucleolar ribonucleoprotein protein IMP3,Q9NV31,,,,-0.242,-0.095,0.530,-0.223,-0.064,-0.117,,,,-0.215,-0.095,0.357,0.042,0.282,0.321,12,0.14,1.1,0.34603
U3 small nucleolar ribonucleoprotein protein MPP10,O00566,0.356,-0.282,0.728,0.415,0.442,0.136,,,,0.475,-0.601,1.073,-0.289,0.681,0.362,,,,12,0.06,1.0,0.95834
U3 small nucleolar RNA-associated protein 14 homolog A,Q9BVJ6,0.033,-0.260,0.139,-0.175,0.382,-0.401,0.462,-1.225,0.794,0.166,-0.406,0.803,-0.309,0.621,0.356,-0.335,0.662,0.116,18,0.18,1.1,0.40244
U3 small nucleolar RNA-associated protein 15 homolog,Q8TED0,0.929,0.836,1.540,1.078,1.356,1.197,,,,1.048,0.995,2.271,1.436,1.197,1.356,,,,12,0.28,1.2,0.32218
U3 small nucleolar RNA-associated protein 18 homolog,Q9Y5J1,-0.459,-0.646,0.445,-0.076,0.110,-0.116,1.293,-0.302,-0.155,-0.127,-0.286,0.630,-0.541,0.017,0.163,-0.541,-0.568,-0.169,18,-0.24,-1.2,0.47951
U4/U6 small nuclear ribonucleoprotein Prp3,O43395,-0.240,-0.401,0.198,0.114,-0.019,-0.073,0.166,0.153,-0.179,0.211,0.238,0.118,0.101,0.087,-0.086,0.034,0.141,-0.192,18,0.10,1.1,0.23262
U4/U6 small nuclear ribonucleoprotein Prp31,Q8WWY3,-0.201,0.038,0.371,0.605,-0.391,0.234,-0.258,-0.032,-0.099,-0.187,-0.334,-0.253,0.366,-0.523,-0.856,-0.059,0.007,-0.125,18,-0.24,-1.2,0.13270
U4/U6 small nuclear ribonucleoprotein Prp4,O43172,0.321,0.307,0.054,0.183,0.209,-0.243,0.267,-0.079,0.028,0.653,-0.742,0.214,0.050,0.303,0.303,0.201,0.188,0.201,18,0.06,1.0,0.80081
U4/U6.U5 tri-snRNP-associated protein 1,O43290,0.348,0.003,-0.674,0.413,-0.571,-1.129,0.302,0.169,-0.309,-0.157,0.176,0.401,0.598,0.984,-0.198,-0.389,0.781,-0.455,18,0.36,1.3,0.17731
U4/U6.U5 tri-snRNP-associated protein 2,Q53GS9,0.217,-0.448,0.535,0.562,0.695,0.043,1.162,-0.326,0.657,0.774,0.136,0.787,-0.528,0.442,0.788,0.511,-0.419,0.418,18,-0.03,-1.0,0.93224
U5 small nuclear ribonucleoprotein 200 kDa helicase,O75643,-0.057,-0.933,-1.172,0.765,0.207,-0.923,0.939,-0.828,0.302,0.261,-0.416,0.859,-1.894,0.141,0.247,-0.442,-0.190,-1.238,18,-0.11,-1.1,0.78241
U5 small nuclear ribonucleoprotein 40 kDa protein,Q96DI7,0.052,-0.320,-0.478,-0.039,0.041,-0.596,0.890,-1.541,0.053,-0.332,-0.293,0.331,-0.330,0.148,-0.265,-0.334,0.504,-0.613,18,0.00,1.0,0.74280
U6 snRNA-associated Sm-like protein LSm1,O15116,0.659,0.964,0.725,0.302,0.130,0.342,0.143,0.288,0.740,0.858,0.645,-1.946,0.740,0.235,0.155,0.647,-0.057,0.143,18,-0.19,-1.1,0.30420
U6 snRNA-associated Sm-like protein LSm2,Q9Y333,0.743,0.757,0.159,0.765,0.035,0.062,-0.472,1.268,-0.153,0.757,1.049,-0.226,1.031,0.579,0.765,0.856,1.335,0.404,18,0.34,1.3,0.13457
U6 snRNA-associated Sm-like protein LSm3,P62310,,,,,,,-0.466,-0.092,-0.173,,,,,,,-0.240,0.054,-0.226,6,0.10,1.1,0.51266
U6 snRNA-associated Sm-like protein LSm4,Q9Y4Z0,-0.405,-2.068,0.206,-0.106,-1.062,-1.394,-1.791,-0.075,-1.471,-0.205,0.618,-1.773,-0.346,0.000,-0.718,0.072,0.204,-0.566,18,0.53,1.4,0.11102
U6 snRNA-associated Sm-like protein LSm7,Q9UK45,,,,0.045,-0.048,-0.433,-0.231,0.087,-0.073,,,,0.151,-0.114,0.045,-0.258,0.167,-0.046,12,0.10,1.1,0.35803
Ubiquilin-1,Q9UMX0,1.010,1.223,0.439,0.373,0.625,0.492,0.238,1.128,0.290,-0.092,0.798,0.120,0.824,0.373,0.812,0.756,0.344,0.742,18,-0.14,-1.1,0.46644
Ubiquilin-2,Q9UHD9,0.469,1.212,0.110,0.170,0.475,0.554,,,,0.681,0.482,0.096,0.847,0.462,0.541,,,,12,-0.01,-1.0,0.91942
Ubiquilin-4,Q9NRR5,-0.279,-0.465,-0.213,-0.060,0.060,-0.233,0.671,0.724,-0.193,0.067,0.106,0.053,-0.286,-0.060,-0.152,0.179,-0.086,-2.026,18,-0.20,-1.1,0.37016
Ubiquinone biosynthesis monooxygenase COQ6,Q9Y2Z9,-0.089,-0.328,0.045,,,,1.059,-0.324,-0.376,0.204,0.150,0.416,,,,-0.151,-0.138,0.328,12,0.05,1.0,0.58424
"Ubiquinone biosynthesis protein COQ9, mitochondrial",O75208,-0.049,-1.153,-1.073,-0.930,-0.147,-0.346,1.751,-1.781,0.516,0.150,-0.913,0.429,-0.413,-0.227,-0.546,-3.134,1.459,-1.421,18,-0.11,-1.1,0.78138
Ubiquitin carboxyl-terminal hydrolase 10,Q14694,,,,0.538,0.032,0.193,0.060,0.206,0.020,,,,0.273,0.073,0.126,0.631,0.405,-0.087,12,0.07,1.0,0.64831
Ubiquitin carboxyl-terminal hydrolase 11,P51784,0.060,0.060,-0.100,-0.217,-0.217,-0.244,0.197,-0.534,0.144,-0.180,-0.299,-0.339,-0.203,-0.071,0.155,0.728,-1.133,-0.201,18,-0.02,-1.0,0.67563
Ubiquitin carboxyl-terminal hydrolase 14,P54578,0.106,0.345,0.557,0.150,-0.514,-0.009,-0.799,0.249,-1.490,0.491,0.385,-3.150,0.269,-0.674,-0.488,0.408,-0.030,0.396,18,0.04,1.0,0.80810
Ubiquitin carboxyl-terminal hydrolase 15,Q9Y4E8,,,,0.119,-0.504,0.372,,,,,,,-0.106,-0.584,-0.080,,,,6,-0.28,-1.2,0.45806
Ubiquitin carboxyl-terminal hydrolase 16,Q9Y5T5,,,,,,,-0.957,-0.318,-0.783,,,,,,,-0.146,-0.811,-1.077,6,0.04,1.0,0.98108
Ubiquitin carboxyl-terminal hydrolase 28,Q96RU2,,,,0.080,0.172,0.293,,,,,,,0.080,0.013,0.160,,,,6,-0.10,-1.1,0.26201
Ubiquitin carboxyl-terminal hydrolase 4,Q13107,-0.345,-0.187,-0.146,0.106,-0.531,0.332,,,,-0.411,-0.372,-0.572,-0.265,-1.196,-0.480,,,,12,-0.42,-1.3,0.04679
Ubiquitin carboxyl-terminal hydrolase 47,Q96K76,0.443,1.081,0.110,0.399,0.359,0.079,0.076,0.766,-0.178,-0.089,0.815,-0.620,0.478,0.346,0.079,0.433,0.514,0.128,18,-0.12,-1.1,0.54776
Ubiquitin carboxyl-terminal hydrolase 48,Q86UV5,-0.138,0.155,-0.058,-0.083,-0.136,-0.189,-0.297,0.101,-0.178,-0.311,0.061,-0.045,0.064,-0.095,0.103,-0.377,0.167,0.247,18,0.08,1.1,0.41487
Ubiquitin carboxyl-terminal hydrolase 5,P45974,0.107,0.239,0.532,0.437,-0.944,0.264,-0.504,-0.994,-0.226,-0.066,0.372,-2.389,-0.148,-0.573,-0.241,0.519,0.573,-0.572,18,-0.06,-1.0,0.66028
Ubiquitin carboxyl-terminal hydrolase 7,Q93009,0.678,0.227,-0.399,1.103,-0.211,-1.582,0.344,-0.838,0.437,0.014,0.705,-0.092,1.210,-0.026,0.638,-0.068,0.769,0.490,18,0.31,1.2,0.19112
Ubiquitin carboxyl-terminal hydrolase 8,P40818,-0.466,-0.519,-0.466,,,,,,,-0.371,-0.584,0.265,,,,,,,6,0.30,1.2,0.37800
Ubiquitin carboxyl-terminal hydrolase isozyme L1,P09936,1.236,-0.837,-0.983,,,,,,,0.094,0.013,-4.878,,,,,,,6,-0.70,-1.6,0.47976
Ubiquitin carboxyl-terminal hydrolase isozyme L3,P15374,-0.273,-0.220,-0.220,-0.046,-0.538,-0.286,,,,-0.139,-0.285,0.060,0.219,-0.685,0.259,,,,12,0.20,1.1,0.31504
Ubiquitin carboxyl-terminal hydrolase isozyme L5,Q9Y5K5,-0.026,0.373,0.000,0.080,-0.026,0.267,0.796,0.411,-1.570,0.253,0.226,-0.052,0.279,-0.013,0.187,0.517,-0.068,0.690,18,0.10,1.1,0.43100
Ubiquitin fusion degradation protein 1 homolog,Q92890,0.065,-0.717,0.251,-0.335,-0.587,-0.335,-1.458,0.003,-0.833,0.145,0.239,-1.753,-0.002,-0.402,-0.109,0.123,0.336,0.058,18,0.30,1.2,0.31423
Ubiquitin thioesterase OTUB1,Q96FW1,1.027,1.545,0.840,0.816,0.231,0.617,-0.382,1.319,0.655,0.801,1.173,-1.844,0.989,0.231,0.657,1.146,-0.169,0.974,18,-0.19,-1.1,0.43223
Ubiquitin-40S ribosomal protein S27a,P62979,0.267,0.108,-3.098,-0.512,-0.299,-0.579,-0.127,-0.446,-0.379,-0.276,-0.648,1.197,-0.486,-0.087,-0.486,-0.593,-0.367,-0.539,18,0.24,1.2,0.43007
Ubiquitin-associated and SH3 domain-containing protein B,Q8TF42,0.459,0.021,0.193,0.789,-0.368,0.975,0.187,0.638,0.985,1.243,-0.007,-0.112,0.164,-0.419,0.656,0.798,0.400,-1.209,18,-0.18,-1.1,0.37176
Ubiquitin-associated protein 1,Q9NZ09,,,,,,,-0.704,-0.546,-0.292,,,,,,,-0.519,-1.130,-1.234,6,-0.42,-1.3,0.15235
Ubiquitin-associated protein 2-like,Q14157,-0.413,-0.200,-0.173,-0.216,-0.255,-0.481,-2.318,-0.910,0.444,-0.294,-0.173,-0.360,-0.216,-0.044,-0.402,0.298,0.005,0.868,18,0.38,1.3,0.12497
Ubiquitin-conjugating enzyme E2 G1,P62253,0.220,0.206,-0.870,0.016,0.307,0.069,-0.261,0.138,-0.155,0.565,0.565,-0.339,0.627,-0.808,0.135,0.244,0.244,0.138,18,0.21,1.2,0.35122
Ubiquitin-conjugating enzyme E2 K,P61086,,,,0.235,-0.828,-0.018,-0.712,0.058,-0.539,,,,0.554,-0.907,0.408,0.562,0.058,0.017,12,0.44,1.4,0.18299
Ubiquitin-conjugating enzyme E2 L3,P68036,0.110,0.269,-0.170,0.543,-0.759,-0.586,-2.407,0.530,0.039,-0.117,0.495,-2.322,0.357,-0.294,-0.997,0.716,-0.228,-0.386,18,-0.03,-1.0,0.93051
Ubiquitin-conjugating enzyme E2 N,P61088,0.111,0.855,0.576,0.867,-0.262,0.522,-3.191,1.227,0.364,0.722,1.041,-3.375,0.376,-1.020,-0.554,0.962,0.045,0.522,18,-0.19,-1.1,0.68816
Ubiquitin-conjugating enzyme E2 O,Q9C0C9,0.120,0.320,0.040,0.240,-0.132,0.093,-0.228,0.105,0.172,-0.305,0.027,-0.185,0.213,-0.385,-0.012,-0.188,-0.028,0.184,18,-0.15,-1.1,0.09897
Ubiquitin-conjugating enzyme E2 variant 2,Q15819,0.182,-0.045,-0.004,0.008,-0.669,0.127,-1.503,0.076,-0.189,-0.138,0.487,-2.465,-0.324,-1.014,-0.112,0.674,-0.866,-0.176,18,-0.07,-1.0,0.56257
Ubiquitin-conjugating enzyme E2 Z,Q9H832,,,,,,,-0.318,0.027,-0.292,,,,,,,0.080,-0.306,-0.292,6,0.02,1.0,0.90313
Ubiquitin-fold modifier 1,P61960,-0.224,0.135,0.122,0.055,-0.157,-0.250,-1.746,0.487,-0.030,-0.224,-0.091,-0.316,-0.157,-0.011,-0.078,1.152,-1.466,1.006,18,0.24,1.2,0.63860
Ubiquitin-fold modifier-conjugating enzyme 1,Q9Y3C8,-0.178,-0.046,0.034,-0.274,-0.512,-0.114,,,,-0.126,-0.058,-0.815,0.032,0.125,-0.445,,,,12,-0.01,-1.0,0.84574
Ubiquitin-like domain-containing CTD phosphatase 1,Q8WVY7,-0.038,-0.012,0.173,0.567,-0.415,0.222,-0.515,-0.050,0.003,-0.346,-0.026,-0.690,0.035,-1.677,0.329,-0.103,-0.436,0.162,18,-0.24,-1.2,0.20914
Ubiquitin-like modifier-activating enzyme 1,P22314,0.829,0.098,0.949,1.349,0.991,0.114,-0.662,0.093,-0.078,0.337,0.377,-2.771,-0.085,-2.809,0.260,1.183,-1.104,0.386,18,-0.53,-1.4,0.11534
Ubiquitin-like modifier-activating enzyme 6,A0AVT1,0.430,1.253,0.097,0.923,-0.844,0.166,-0.437,0.494,0.149,-0.301,0.483,-2.213,0.352,-1.108,0.259,0.069,-0.808,0.281,18,-0.50,-1.4,0.13280
Ubiquitin-like protein ISG15,P05161,,,,0.332,0.425,0.054,,,,,,,0.306,0.132,0.265,,,,6,-0.04,-1.0,0.78453
Ubiquitin-like-conjugating enzyme ATG3,Q9NT62,-0.524,0.380,0.393,0.178,0.270,0.231,-0.118,0.133,0.067,-0.032,0.181,-0.299,0.045,-0.380,-0.247,-0.025,-0.092,0.133,18,-0.20,-1.2,0.11503
Ubiquitin-protein ligase E3A,Q05086,0.032,-0.180,0.098,-0.018,-0.032,-0.404,,,,0.086,0.045,-0.075,0.526,-0.231,0.167,,,,12,0.18,1.1,0.21358
UBX domain-containing protein 1,Q04323,-0.954,0.241,-0.210,0.077,-0.507,-0.453,-0.838,-0.199,-0.478,0.095,0.201,-2.003,0.463,-1.343,-0.866,-0.172,-0.491,-0.451,18,-0.02,-1.0,0.64400
UBX domain-containing protein 4,Q92575,0.373,-0.610,-0.344,0.066,0.437,-0.798,0.730,0.251,0.199,0.746,0.533,0.321,-0.093,0.664,0.744,-0.386,0.026,0.199,18,0.24,1.2,0.22744
UBX domain-containing protein 7,O94888,-0.585,0.105,-0.387,-0.328,-0.435,-0.356,-1.359,-0.534,-0.919,0.026,-0.134,-0.983,-0.235,-0.381,-0.222,0.263,0.342,0.250,18,0.41,1.3,0.04867
UDP-glucose 4-epimerase,Q14376,,,,,,,0.252,0.160,0.213,,,,,,,0.425,0.172,0.066,6,0.02,1.0,0.91031
UDP-glucose 6-dehydrogenase,O60701,-0.123,0.368,-1.225,-0.033,0.273,0.287,0.342,0.089,-0.084,1.497,0.275,0.647,-0.138,0.605,0.446,0.887,-0.455,0.661,18,0.54,1.5,0.06145
UDP-glucose:glycoprotein glucosyltransferase 1,Q9NYU2,0.220,-0.351,0.725,0.758,0.466,0.067,0.643,-0.129,0.418,-0.178,-0.499,-0.098,-1.394,-0.478,0.399,0.032,0.018,-1.164,18,-0.64,-1.6,0.00970
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,O15294,-0.146,-0.306,0.107,-0.141,0.005,0.098,0.207,-0.298,-0.259,-0.211,-0.251,-0.039,-0.034,-0.141,-0.633,-0.138,0.153,-0.510,18,-0.11,-1.1,0.26516
UDP-N-acetylhexosamine pyrophosphorylase-like protein 1,Q3KQV9,,,,-0.106,0.160,0.186,,,,,,,0.094,-0.013,0.080,,,,6,-0.03,-1.0,0.80296
Ufm1-specific protease 2,Q9NUQ7,,,,-0.322,0.037,-0.389,-0.077,-0.328,0.748,,,,-0.362,0.409,0.262,-0.010,0.801,-1.500,12,0.09,1.1,0.97612
UMP-CMP kinase,P30085,0.418,0.523,0.418,1.462,0.665,0.346,-0.882,0.911,-0.338,0.231,0.856,-0.474,0.917,-0.211,-1.207,0.804,0.526,0.951,18,-0.11,-1.1,0.71465
Uncharacterized protein C12orf43,Q96C57,,,,0.734,0.017,0.296,-0.030,0.143,0.435,,,,0.110,1.106,-0.848,0.329,0.807,-0.270,12,0.05,1.0,0.85120
Uncharacterized protein C14orf142,Q9BXV9,0.239,0.239,0.078,0.491,-0.758,0.225,-0.930,0.945,0.108,0.398,0.902,-0.173,0.956,0.225,0.544,0.162,0.440,0.958,18,0.37,1.3,0.09222
Uncharacterized protein C14orf43,Q6PJG2,0.031,0.123,-0.089,0.460,0.487,-0.151,,,,-0.021,0.256,0.868,0.141,0.235,-0.005,,,,12,0.11,1.1,0.56898
Uncharacterized protein C17orf59,Q96GS4,-0.485,0.086,-0.552,-0.035,0.430,-0.727,-0.450,-0.410,0.068,-0.405,-0.405,0.366,0.377,-1.431,-0.008,-0.462,-0.065,-0.077,18,0.03,1.0,0.98544
Uncharacterized protein C17orf62,Q9BQA9,0.710,0.511,1.520,,,,0.938,0.260,1.071,0.058,-0.327,0.497,,,,-0.524,0.698,0.527,12,-0.67,-1.6,0.03210
Uncharacterized protein C17orf85,Q53F19,0.429,0.721,0.044,0.623,0.717,0.584,0.621,0.489,0.556,0.814,0.243,1.266,0.611,0.611,0.371,0.170,0.621,1.060,18,0.14,1.1,0.44366
Uncharacterized protein C18orf8,Q96DM3,-0.133,-1.208,1.143,,,,,,,-0.718,0.930,-0.306,,,,,,,6,-0.10,-1.1,0.96912
Uncharacterized protein C19orf43,Q9BQ61,0.127,0.341,0.207,0.190,0.455,0.057,-0.224,0.892,0.586,0.022,0.513,0.221,0.255,0.177,0.296,0.506,0.294,-0.623,18,-0.11,-1.1,0.50075
Uncharacterized protein C19orf52,Q9BSF4,,,,-0.080,-0.066,0.054,,,,,,,0.013,-0.053,0.438,,,,6,0.18,1.1,0.36334
Uncharacterized protein C22orf25,Q6ICL3,,,,0.664,0.132,0.585,,,,,,,-0.438,-0.092,-0.080,,,,6,-0.67,-1.6,0.03080
"Uncharacterized protein C2orf47, mitochondrial",Q8WWC4,-0.009,-3.387,-1.098,-0.255,-0.720,-0.601,0.850,-1.010,-0.651,-0.129,-0.514,1.373,-1.399,0.223,-1.012,-1.943,-0.054,-0.957,18,0.28,1.2,0.59348
Uncharacterized protein C3orf38,Q5JPI3,0.040,-0.025,0.613,0.424,-0.253,-0.174,,,,0.413,0.307,-0.730,0.583,-0.027,0.065,,,,12,0.02,1.0,0.99304
Uncharacterized protein C6orf125,Q9BRT2,0.563,-0.167,0.006,0.034,0.379,0.208,,,,-0.300,0.417,1.653,0.472,0.779,0.301,,,,12,0.49,1.4,0.20819
Uncharacterized protein C6orf136,Q5SQH8,,,,-0.371,0.106,0.094,,,,,,,-1.344,-0.398,-0.318,,,,6,-0.58,-1.5,0.15972
Uncharacterized protein C6orf203,Q9P0P8,,,,-0.115,0.031,0.137,0.420,0.049,-0.084,,,,-0.262,0.124,-0.089,-0.590,0.129,-0.098,12,-0.20,-1.1,0.16309
Uncharacterized protein C7orf50,Q9BRJ6,0.310,-0.220,-0.061,-0.702,-1.153,0.056,-0.048,-0.845,-0.459,0.310,-1.096,-0.075,0.402,0.547,0.017,-0.274,0.337,0.457,18,0.42,1.3,0.09392
Uncharacterized protein C9orf142,Q9BUH6,,,,0.217,-0.008,0.815,-0.562,0.554,0.381,,,,0.469,0.324,-0.022,0.540,0.275,0.607,12,0.08,1.1,0.55465
Uncharacterized protein C9orf78,Q9NZ63,0.110,-0.688,0.907,,,,-0.826,0.409,0.607,-0.036,0.654,0.442,,,,0.183,0.262,0.754,12,0.18,1.1,0.37513
Uncharacterized protein C9orf82,Q9H8G2,-0.299,-0.380,0.085,,,,-0.072,0.127,-0.218,-0.299,-0.234,0.378,,,,-0.364,0.034,-0.258,12,0.01,1.0,0.98768
Uncharacterized protein KIAA0090,Q8N766,0.266,0.200,0.027,0.051,0.303,-0.401,0.228,0.095,0.122,0.120,-0.225,0.252,-0.626,0.888,0.423,0.069,0.083,0.042,18,0.06,1.0,0.92508
Uncharacterized protein KIAA0528,Q86YS7,,,,,,,-0.637,-1.035,-0.120,,,,,,,0.372,0.731,0.000,6,0.95,1.9,0.04639
Uncharacterized protein KIAA2013,Q8IYS2,-0.346,-0.053,-0.253,,,,,,,-0.199,0.119,0.040,,,,,,,6,0.20,1.2,0.18906
Unconventional myosin-Ig,B0I1T2,-0.419,-0.100,-0.378,0.277,-0.387,1.394,0.168,-0.257,0.474,-0.233,-0.658,-0.578,-1.614,-0.095,-1.941,-0.696,-0.510,-1.545,18,-0.96,-1.9,0.00481
