"","Protein.Name","Accession.Number","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"384","3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens GN=HSD17B10 PE=1 SV=3","sp|Q99714|HCD2_HUMAN",0.87,1.24,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1","sp|P30740|ILEU_HUMAN",0.95,0.99,0.94,NA,NA,NA,NA,NA,NA,1.12,1.29,NA
"386","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2","sp|P22626|ROA2_HUMAN",0.96,2.25,0.94,0.85,1.37,0.81,1.03,2.74,1.34,1.32,1.36,NA
"387","Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens GN=SLC25A24 PE=1 SV=2","sp|Q6NUK1|SCMC1_HUMAN",0.97,0.81,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1","sp|P62081|RS7_HUMAN",0.94,0.93,0.94,1.12,0.74,1,0.94,0.63,1.04,0.96,0.96,NA
"389","EF-hand domain-containing protein D2 OS=Homo sapiens GN=EFHD2 PE=1 SV=1","sp|Q96C19|EFHD2_HUMAN",1.03,1,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1","sp|P39687|AN32A_HUMAN",1.07,0.87,0.94,0.93,0.88,0.91,NA,NA,NA,1.28,1.07,NA
"391","Syntaxin-7 OS=Homo sapiens GN=STX7 PE=1 SV=4","sp|O15400|STX7_HUMAN",0.98,0.98,0.94,0.99,1.2,0.94,NA,NA,NA,0.95,0.97,NA
"392","Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1","sp|P61160|ARP2_HUMAN",1.12,1.14,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3","sp|P00558|PGK1_HUMAN",0.91,0.96,0.94,0.93,0.9,1.04,1,0.81,0.99,1.11,1.08,NA
"394","X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3","sp|P13010|XRCC5_HUMAN",1,0.95,0.94,1.11,1.02,0.94,1,0.85,0.97,0.98,1.07,NA
"395","Diacylglycerol kinase alpha OS=Homo sapiens GN=DGKA PE=1 SV=3","sp|P23743|DGKA_HUMAN",1.03,0.99,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2","sp|P62937|PPIA_HUMAN",0.91,0.72,0.94,0.77,0.77,0.81,0.96,0.97,0.97,0.94,0.96,NA
"397","60S ribosomal protein L34 OS=Homo sapiens GN=RPL34 PE=1 SV=3","sp|P49207|RL34_HUMAN",0.91,0.84,0.94,1.01,0.8,1.03,NA,NA,NA,0.68,0.82,NA
"398","Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=5","sp|P13796|PLSL_HUMAN",0.93,1.06,0.93,0.7,0.92,0.95,0.82,0.8,0.86,0.93,0.74,NA
"399","Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2","sp|P16403|H12_HUMAN",1.23,0.82,0.93,0.65,0.42,0.97,1.06,0.84,1.09,0.85,0.76,0.78
"400","Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2","sp|P04080|CYTB_HUMAN",1,0.83,0.93,0.94,1.07,0.93,1.4,1,1.04,1.16,0.88,NA
"401","Receptor-type tyrosine-protein phosphatase C OS=Homo sapiens GN=PTPRC PE=1 SV=2","sp|P08575|PTPRC_HUMAN",1.01,0.99,0.93,1.03,1.11,1.06,0.94,0.9,0.93,0.92,0.94,NA
"402","Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=1 SV=1","sp|Q99613|EIF3C_HUMAN",0.9,1,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4","sp|P47756|CAPZB_HUMAN",0.96,0.95,0.93,0.74,0.74,0.76,1.02,1.09,1.11,0.95,0.91,NA
"404","Putative elongation factor 1-alpha-like 3 OS=Homo sapiens GN=EEF1AL3 PE=5 SV=1","sp|Q5VTE0|EF1A3_HUMAN",0.93,0.85,0.93,1.09,0.87,0.95,1.04,1.01,1.04,0.84,0.82,NA
"405","Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4","sp|Q15233|NONO_HUMAN",0.95,1.08,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens GN=HNRNPH1 PE=1 SV=4","sp|P31943|HNRH1_HUMAN",1.02,1.15,0.93,1.04,1.21,1,NA,NA,NA,NA,NA,NA
"407","Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1","sp|P11142|HSP7C_HUMAN",0.94,0.99,0.93,0.99,1.05,0.93,0.85,1.42,0.94,0.99,0.91,NA
"408","Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=1","sp|P60953|CDC42_HUMAN",0.93,1.11,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3","sp|P52566|GDIR2_HUMAN",0.93,0.85,0.93,0.97,0.85,0.79,0.58,0.79,0.76,0.92,0.93,NA
"410","Transaldolase OS=Homo sapiens GN=TALDO1 PE=1 SV=2","sp|P37837|TALDO_HUMAN",1.03,0.91,0.93,1.04,0.94,0.91,0.99,0.9,0.91,0.98,1.18,NA
"411","60S acidic ribosomal protein P0-like OS=Homo sapiens PE=1 SV=1","sp|Q8NHW5|RLA0L_HUMAN",0.98,1.04,0.93,1.01,0.97,0.96,0.88,0.95,1.04,0.99,1.06,NA
"412","HLA class II histocompatibility antigen gamma chain OS=Homo sapiens GN=CD74 PE=1 SV=3","sp|P04233|HG2A_HUMAN",1.08,1.01,0.93,0.95,0.92,0.94,NA,NA,NA,0.99,0.94,NA
"413","Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1","sp|O14818|PSA7_HUMAN",1.05,1.02,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4","sp|P08238|HS90B_HUMAN",0.99,0.92,0.93,1,0.99,0.95,0.89,0.84,0.93,0.98,0.99,NA
"415","60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2","sp|P62424|RL7A_HUMAN",0.97,0.96,0.93,NA,NA,NA,NA,NA,NA,1.11,1.08,NA
"416","Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4","sp|Q04760|LGUL_HUMAN",0.84,0.85,0.92,0.88,1.25,0.98,0.87,0.96,0.69,1.16,1.03,NA
"417","Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3","sp|P30048|PRDX3_HUMAN",0.9,0.98,0.92,0.92,1.04,1.03,NA,NA,NA,NA,NA,NA
"418","Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3","sp|P19338|NUCL_HUMAN",0.97,0.89,0.92,0.93,0.87,0.89,0.74,1.07,0.94,1.05,1.11,NA
"419","Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4","sp|P11766|ADHX_HUMAN",1.06,0.93,0.92,NA,NA,NA,1.1,0.85,0.97,1.19,0.98,NA
"420","Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6","sp|Q00839|HNRPU_HUMAN",0.95,1.15,0.92,0.92,0.97,0.93,0.67,1.01,0.92,1.17,1.12,NA
"421","Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2","sp|P11940|PABP1_HUMAN",1.03,1.07,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","SAP domain-containing ribonucleoprotein OS=Homo sapiens GN=SARNP PE=1 SV=3","sp|P82979|SARNP_HUMAN",1.1,0.96,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2","sp|P31942|HNRH3_HUMAN",0.96,0.9,0.91,NA,NA,NA,1.08,0.77,1.21,NA,NA,NA
"424","Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2","sp|P31942|HNRH3_HUMAN",1.21,1.35,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1","sp|P60866|RS20_HUMAN",0.95,0.96,0.91,1.01,0.9,0.94,NA,NA,NA,NA,NA,NA
"426","Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=3","sp|P30044|PRDX5_HUMAN",1.2,1,0.91,NA,NA,NA,1.05,1.35,1.13,NA,NA,NA
"427","Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2","sp|P21796|VDAC1_HUMAN",0.93,1.02,0.91,1.03,1.1,1.08,0.91,0.94,0.93,1.11,1.06,NA
"428","Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2","sp|Q9UHD8|SEPT9_HUMAN",1.01,0.95,0.91,0.97,0.89,0.99,1,1.38,1.26,NA,NA,NA
"429","Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2","sp|P16402|H13_HUMAN",1.5,1.14,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1","sp|Q07021|C1QBP_HUMAN",0.99,0.83,0.91,NA,NA,NA,0.81,0.71,1.04,NA,NA,NA
"431","60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1","sp|P30050|RL12_HUMAN",1.02,0.94,0.91,1.06,0.84,1.03,0.82,0.9,0.83,1.05,0.96,NA
"432","High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3","sp|P09429|HMGB1_HUMAN",0.88,0.66,0.91,0.61,0.71,0.7,0.82,0.79,0.9,0.98,0.89,NA
"433","60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2","sp|P46778|RL21_HUMAN",1,0.83,0.91,NA,NA,NA,0.86,0.72,0.96,0.86,0.85,NA
"434","NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3 PE=1 SV=3","sp|P00387|NB5R3_HUMAN",0.84,1.12,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1","sp|P63261|ACTG_HUMAN",0.89,1.82,0.9,0.89,1.36,0.95,1.15,0.8,0.88,1.23,1.2,1.76
"436","Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2","sp|Q00325|MPCP_HUMAN",0.85,1.06,0.9,0.82,1.01,0.78,0.76,0.86,0.78,0.95,1.01,0.97
"437","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens GN=IDH3A PE=1 SV=1","sp|P50213|IDH3A_HUMAN",0.85,1,0.9,0.89,1.02,0.98,NA,NA,NA,NA,NA,NA
"438","Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2","sp|P06733|ENOA_HUMAN",1.05,1.11,0.9,0.97,1.17,1.09,0.93,0.82,0.96,0.98,0.97,NA
"439","Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2","sp|P37108|SRP14_HUMAN",1.08,0.93,0.9,NA,NA,NA,NA,NA,NA,1.16,1.08,NA
"440","Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2","sp|P27694|RFA1_HUMAN",0.88,0.98,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1","sp|P22392|NDKB_HUMAN",1.07,1.15,0.9,1.1,1.12,1.08,0.97,1.05,1.02,1,0.93,NA
"442","ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=6","sp|P05141|ADT2_HUMAN",0.87,1.46,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens GN=RAC2 PE=1 SV=1","sp|P15153|RAC2_HUMAN",0.85,0.84,0.89,0.94,0.8,0.76,NA,NA,NA,0.79,0.73,NA
"444","Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1","sp|P84090|ERH_HUMAN",1.16,1.03,0.89,1.42,NA,1.76,0.78,0.63,0.8,NA,NA,1.49
"445","Growth factor receptor-bound protein 2 OS=Homo sapiens GN=GRB2 PE=1 SV=1","sp|P62993|GRB2_HUMAN",0.88,0.88,0.89,0.89,0.87,0.84,1.17,0.85,1.03,0.98,0.98,NA
"446","2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens GN=DECR1 PE=1 SV=1","sp|Q16698|DECR_HUMAN",1.09,0.96,0.89,0.93,0.82,1,0.72,0.82,0.84,NA,NA,NA
"447","RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1","sp|Q9Y5S9|RBM8A_HUMAN",0.87,0.83,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Prostaglandin E synthase 3 OS=Homo sapiens GN=PTGES3 PE=1 SV=1","sp|Q15185|TEBP_HUMAN",0.86,0.76,0.89,NA,NA,NA,1.02,0.67,0.92,NA,NA,NA
"449","U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2","sp|O75643|U520_HUMAN",0.91,0.93,0.89,NA,NA,NA,0.84,1.07,0.98,NA,NA,NA
"450","40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3","sp|P62266|RS23_HUMAN",0.99,0.95,0.89,NA,NA,NA,0.95,0.95,1.02,0.93,1.07,NA
"451","Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2","sp|P00367|DHE3_HUMAN",0.87,1,0.88,NA,NA,NA,0.93,0.66,0.92,1.02,1.3,NA
"452","Mitochondrial inner membrane protein OS=Homo sapiens GN=IMMT PE=1 SV=1","sp|Q16891|IMMT_HUMAN",0.89,1.18,0.88,NA,NA,NA,0.99,1.38,1.27,NA,NA,NA
"453","Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens GN=SUCLG1 PE=1 SV=4","sp|P53597|SUCA_HUMAN",0.9,0.76,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3","sp|Q02878|RL6_HUMAN",0.92,0.97,0.88,0.88,0.94,0.95,0.87,0.83,0.94,1.01,1.11,NA
"455","ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1","sp|Q9UII2|ATIF1_HUMAN",0.98,1.01,0.88,NA,NA,NA,NA,NA,NA,1.03,1.02,NA
"456","Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4","sp|P15311|EZRI_HUMAN",0.9,1.38,0.88,0.82,1.25,0.8,0.88,0.81,0.73,1.05,0.92,0.98
"457","2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=3","sp|Q02218|ODO1_HUMAN",0.8,0.92,0.88,1.13,1,1.01,NA,NA,NA,NA,NA,NA
"458","Signal recognition particle 9 kDa protein OS=Homo sapiens GN=SRP9 PE=1 SV=2","sp|P49458|SRP09_HUMAN",1,0.95,0.88,NA,NA,NA,0.96,1.08,1.05,0.87,1.06,NA
"459","Transcription factor A, mitochondrial OS=Homo sapiens GN=TFAM PE=1 SV=1","sp|Q00059|TFAM_HUMAN",0.88,0.98,0.88,0.62,NA,0.77,0.89,1.19,1,NA,NA,0.79
"460","60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2","sp|P46776|RL27A_HUMAN",0.92,0.99,0.88,NA,NA,NA,NA,NA,NA,0.78,0.87,NA
"461","Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3","sp|P22314|UBA1_HUMAN",0.92,1.05,0.88,0.96,0.97,0.94,1.13,0.7,0.98,0.93,0.98,NA
"462","Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM2 PE=1 SV=4","sp|P14618|KPYM_HUMAN",0.99,1.1,0.88,0.99,0.89,0.99,0.95,1.02,0.89,0.92,0.92,NA
"463","Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2","sp|P08758|ANXA5_HUMAN",1.06,0.98,0.87,0.93,1.01,1,0.8,0.86,0.77,0.94,1.02,NA
"464","Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2","sp|Q14980|NUMA1_HUMAN",0.95,0.76,0.87,NA,NA,NA,1.09,1.07,1.16,NA,NA,NA
"465","Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens GN=SUCLG2 PE=1 SV=2","sp|Q96I99|SUCB2_HUMAN",0.89,1.21,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1","sp|P26447|S10A4_HUMAN",1.08,0.95,0.87,NA,NA,NA,0.77,0.98,0.84,0.96,1.05,NA
"467","Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3","sp|O15145|ARPC3_HUMAN",0.72,1.21,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Protein SET OS=Homo sapiens GN=SET PE=1 SV=3","sp|Q01105|SET_HUMAN",1.14,1,0.87,0.83,1.01,0.89,0.84,1.03,0.81,1.05,1.04,NA
"469","Neuron-specific calcium-binding protein hippocalcin OS=Homo sapiens GN=HPCA PE=1 SV=2","sp|P84074|HPCA_HUMAN",0.95,0.92,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2","sp|P61353|RL27_HUMAN",0.91,0.88,0.87,0.93,0.75,0.85,0.76,0.65,0.9,0.91,0.94,NA
"471","Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1","sp|P25786|PSA1_HUMAN",1.02,1.27,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1","sp|P00403|COX2_HUMAN",0.92,1.13,0.87,0.5,1.2,0.51,NA,NA,NA,0.86,0.77,1.04
"473","40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3","sp|P62280|RS11_HUMAN",0.9,0.92,0.87,NA,NA,NA,0.77,0.65,0.88,NA,NA,NA
"474","Histone H2A type 2-B OS=Homo sapiens GN=HIST2H2AB PE=1 SV=3","sp|Q8IUE6|H2A2B_HUMAN",1.12,0.5,0.87,0.51,0.68,0.8,1.03,0.66,0.72,0.96,1.15,0.7
"475","Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4","sp|P13639|EF2_HUMAN",0.84,1.52,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2","sp|P00338|LDHA_HUMAN",1.03,0.99,0.86,0.94,0.96,0.96,0.77,0.72,0.9,0.82,0.78,NA
"477","MLL1/MLL complex subunit C17orf49 OS=Homo sapiens GN=C17orf49 PE=1 SV=1","sp|Q8IXM2|CQ049_HUMAN",0.96,0.91,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2","sp|P62913|RL11_HUMAN",0.83,0.8,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2","sp|P11387|TOP1_HUMAN",1.08,1.23,0.86,0.95,NA,0.82,0.89,1.04,1.22,NA,NA,1.22
"480","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1","sp|P25705|ATPA_HUMAN",0.83,1.29,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2","sp|P09211|GSTP1_HUMAN",0.86,1.44,0.86,0.89,0.97,1.4,0.97,0.96,1.41,1.15,1.34,NA
"482","Proteasome subunit beta type-8 OS=Homo sapiens GN=PSMB8 PE=1 SV=2","sp|P28062|PSB8_HUMAN",0.97,1.18,0.86,0.91,0.69,0.88,NA,NA,NA,NA,NA,NA
"483","Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2","sp|A8MWD9|RUXGL_HUMAN",0.94,0.99,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","Moesin OS=Homo sapiens GN=MSN PE=1 SV=3","sp|P26038|MOES_HUMAN",1.02,0.94,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Protein kinase C beta type OS=Homo sapiens GN=PRKCB PE=1 SV=4","sp|P05771|KPCB_HUMAN",0.85,0.9,0.85,NA,NA,NA,1.5,1.08,1.15,0.77,0.86,NA
"486","Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1","sp|P61978|HNRPK_HUMAN",0.88,1.16,0.85,0.71,0.99,0.74,1.12,2.06,1.11,1.07,1.01,NA
"487","Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3","sp|P59998|ARPC4_HUMAN",0.71,1.48,0.85,NA,NA,NA,0.9,1.02,0.82,NA,NA,NA
"488","Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3","sp|P61158|ARP3_HUMAN",0.87,1.42,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4","sp|P31146|COR1A_HUMAN",0.83,0.85,0.85,0.84,0.92,0.88,1.01,0.65,0.75,0.83,0.87,NA
"490","Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4","sp|P15311|EZRI_HUMAN",0.98,0.96,0.84,0.96,0.91,0.93,0.93,0.95,1.12,0.87,0.85,NA
"491","LIM domain-containing protein 2 OS=Homo sapiens GN=LIMD2 PE=1 SV=1","sp|Q9BT23|LIMD2_HUMAN",0.82,0.86,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4","sp|P35579|MYH9_HUMAN",0.55,1.27,0.84,0.69,1.41,0.82,1.7,1.31,1.03,0.82,1.03,1.35
"493","40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1","sp|P62753|RS6_HUMAN",0.75,0.7,0.84,NA,NA,NA,0.77,0.57,0.87,0.71,0.73,NA
"494","DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3","sp|P78527|PRKDC_HUMAN",0.92,0.69,0.84,0.66,NA,0.71,0.78,0.96,0.95,NA,NA,0.71
"495","T-complex protein 1 subunit eta OS=Homo sapiens GN=CCT7 PE=1 SV=2","sp|Q99832|TCPH_HUMAN",0.85,0.85,0.84,NA,NA,NA,0.99,1.01,0.92,NA,NA,NA
"496","Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2","sp|P62158|CALM_HUMAN",0.99,0.99,0.84,NA,NA,NA,1.16,0.77,1.08,0.86,0.98,NA
"497","40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1","sp|P62857|RS28_HUMAN",0.83,0.77,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2","sp|P62328|TYB4_HUMAN",1.23,1.11,0.82,1.05,0.81,0.86,0.75,1.09,1.05,NA,NA,NA
"499","Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4","sp|P08670|VIME_HUMAN",0.75,0.62,0.82,0.76,1.08,1,1.21,1.61,1.83,0.64,0.62,NA
"500","Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3","sp|O43264|ZW10_HUMAN",0.89,1.01,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2","sp|Q14847|LASP1_HUMAN",0.85,1.22,0.82,NA,1.27,NA,NA,NA,NA,1.18,1.08,NA
"502","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1","sp|P11310|ACADM_HUMAN",0.82,0.98,0.82,0.99,1.2,1.2,0.84,1.25,0.91,NA,NA,NA
"503","Ubiquitin OS=Homo sapiens GN=RPS27A PE=1 SV=1","sp|P62988|UBIQ_HUMAN",1.04,1.04,0.82,0.95,0.88,0.81,0.93,1.2,0.89,1.02,1.11,NA
"504","High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3","sp|P17096|HMGA1_HUMAN",1.24,0.97,0.82,1.04,0.74,1.14,1.22,1.08,1.25,1.02,0.72,1.2
"505","Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2","sp|P06733|ENOA_HUMAN",0.66,2.21,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3","sp|Q14019|COTL1_HUMAN",0.96,0.99,0.8,0.86,0.9,1,0.83,0.68,0.79,0.75,0.79,NA
"507","Putative histone H2B type 2-C OS=Homo sapiens GN=HIST2H2BC PE=5 SV=3","sp|Q6DN03|H2B2C_HUMAN",1.28,0.65,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens GN=NNT PE=1 SV=3","sp|Q13423|NNTM_HUMAN",0.76,1,0.8,NA,NA,NA,NA,NA,NA,1.06,0.9,NA
"509","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3","sp|P08559|ODPA_HUMAN",0.69,0.73,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2","sp|P27695|APEX1_HUMAN",0.86,0.86,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1","sp|O15144|ARPC2_HUMAN",0.79,1.6,0.79,NA,1.41,NA,0.69,0.82,0.74,1.02,1.05,NA
